timestamp,force.x[N],force.y[N],force.z[N],torque.x[N m],torque.y[N m],torque.z[N m],sinkage[mm],rotary_encoder[]
0,-9.6,2.05,-29.5,0.1,-1.955,-0.02,0,0
0.059876,-9.6,2,-29.5,0.101,-1.956,-0.0192,0,0
0.0997529,-9.6,2.05,-29.5,0.101,-1.955,-0.02,0,0
0.14012,-9.6,2.05,-29.55,0.101,-1.955,-0.02,0,0
0.179816,-9.6,2.05,-29.55,0.101,-1.955,-0.02,0,0
0.21993,-9.6,2,-29.55,0.101,-1.955,-0.0192,0,0
0.259703,-9.6,2,-29.5,0.101,-1.956,-0.0192,0,0
0.29994,-9.6,2.05,-29.55,0.1,-1.955,-0.02,0,0
0.339811,-9.55,2.05,-29.5,0.1,-1.956,-0.0192,0,0
0.379936,-9.55,2,-29.5,0.101,-1.956,-0.02,0,0
0.419809,-9.55,2.05,-29.5,0.101,-1.956,-0.0192,0,0
0.459811,-9.6,2.05,-29.55,0.1,-1.955,-0.02,0,0
0.499939,-9.6,2.05,-29.55,0.101,-1.955,-0.02,0,0
0.539702,-9.6,2.05,-29.5,0.101,-1.955,-0.02,0,0
0.581067,-9.6,2.05,-29.5,0.101,-1.955,-0.02,0,0
0.619925,-9.6,2.05,-29.5,0.101,-1.956,-0.0192,0,0
0.659575,-9.6,2.05,-29.55,0.101,-1.955,-0.0184,0,0
0.699821,-9.6,2.05,-29.5,0.101,-1.956,-0.02,0,0
0.739834,-9.6,2.05,-29.5,0.1,-1.956,-0.02,0,0
0.779815,-9.6,2.05,-29.55,0.101,-1.955,-0.02,0,0
0.819696,-9.6,2.05,-29.5,0.101,-1.956,-0.02,0,0
0.859697,-9.55,2.05,-29.55,0.1,-1.955,-0.02,0,0
0.900451,-9.55,2,-29.5,0.101,-1.955,-0.0184,0,0
0.939943,-9.6,2.05,-29.5,0.101,-1.955,-0.02,0,0
0.979475,-9.6,2.05,-29.55,0.1,-1.955,-0.02,0,0
1.01969,-9.6,2.05,-29.5,0.1,-1.955,-0.02,0,0
1.05993,-9.55,2.05,-29.5,0.101,-1.956,-0.0192,0,0
1.09946,-9.6,2.05,-29.5,0.101,-1.956,-0.02,0,0
1.13983,-9.55,2.05,-29.5,0.1,-1.956,-0.0192,0,0
1.1797,-9.6,2.05,-29.5,0.1,-1.956,-0.02,0,0
1.22005,-9.6,2.05,-29.55,0.1,-1.955,-0.02,0,0
